,Plv max,Plv min,Prv max,Prv min,Qpo max,Qpo min,Qao max,Qao min,Psvn max,Psvn min,Pvn max,Pvn min
1192,117.32696531535413,7.584061391159591,44.85268323698104,7.167718734080912,901.7177106032052,-0.0,788.7916630048506,-0.0,16.372409651880172,15.945798414216641,13.87686657810791,12.31396481199592
1193,116.892680642908,7.80262648985558,44.25725048416156,7.120521558513682,965.8112031489526,-0.0,784.832139279204,-0.0,16.296399151373652,15.870247423597862,13.381074783655725,11.95473281199634
1194,115.19964325141461,7.949240201522061,44.57181898822427,7.1086369000784915,1005.8260422114242,-0.0,781.9415994567977,-0.0,16.16201593914334,15.742995105610433,13.83676721971482,12.55296667071452
1195,117.14605384936058,7.482981901851708,44.88859886098546,7.171315793879258,935.4818527166317,-0.0,789.3042633901416,-0.0,16.38006396821015,15.953146763097703,13.806779320139004,12.345962673365806
1196,115.44564799484002,7.837377408892931,44.79927384537783,7.1279750182953885,906.1642460044945,-0.0,783.6685087380339,-0.0,16.19620790533755,15.77718231547524,14.168440528396399,12.643327195973267
1197,115.64915203298416,7.84594304844455,44.48672218175126,7.109761237083783,899.7651809708686,-0.0,782.5632483495663,-0.0,16.189195779076357,15.769231700121834,13.9768356009387,12.423366688996946
1198,117.56185037417201,7.8800586297640764,44.81641877007522,7.181592771418603,1092.888735306794,-0.0,791.3384973045506,-0.0,16.447919554385166,16.017899547391725,13.636895614333618,12.172598690601324
1199,117.62639829203944,7.477186275755878,44.18801337122504,7.125693580893432,1003.6669184266154,-0.0,785.4967456883962,-0.0,16.338834702810267,15.910328679308293,13.07953054549226,11.805948071955056
1200,118.08370956075727,7.086248439934679,44.907217491937345,7.199098383111954,1007.8694028295154,-0.0,793.230779836098,-0.0,16.505997828781496,16.0738480843756,13.50457309038157,12.043409282735436
1201,118.41038956151105,7.204802682973486,45.030202787564775,7.213457310104979,972.1955203333258,-0.0,794.8499105481226,-0.0,16.54496008551167,16.111831270415788,13.515188165273159,12.102638118059634
1202,118.53478163227892,6.881355662445054,44.89319460442475,7.200262805774123,948.996644164863,-0.0,793.1967572102537,-0.0,16.51584535339326,16.08310202261679,13.578298886717537,12.020648221734714
1203,0.638243095,-9.642806483589615,0.0,-10.499998578957628,321.08237864592917,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1204,124.43971178344972,6.128093593014858,45.15954347966815,7.351353686703989,959.204725453618,-0.0,813.4238877170185,-0.0,17.167097383398644,16.70913986178413,12.186478298667186,10.830103544119842
1205,0.45124009500000006,-13.91626118053992,0.0,-10.499998578957628,278.8174522353105,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1206,115.84481435453564,7.8470292533211,44.7940394920839,7.132529625289687,997.0915545888008,-0.0,784.1078066696957,-0.0,16.22099889043759,15.7999771357852,14.162075166248925,12.622216163803277
1207,114.86849251983354,8.061871506690995,43.92793424198547,7.047626017491634,943.1115126952326,-0.0,775.9231546763881,-0.0,16.034669795665618,15.618192390667826,13.866099841366236,12.242193864237317
1208,120.72417881913103,7.089704031984109,44.72403439156012,7.23639073344288,1081.743598230371,-0.0,798.8547092177032,-0.0,16.73012229994772,16.287561921144352,12.733697620459651,11.433227736935967
1209,124.25591449174591,6.426552364800127,45.39447437292603,7.3710545324590795,1131.6801487599873,-0.0,815.2474699562736,-0.0,17.20259119396119,16.74306298377526,12.469814397134678,10.951309688341366
1210,114.60103810978775,8.362008587194735,44.16054572254893,7.052925647018923,885.974877181256,-0.0,775.4879860092612,-0.0,16.002528228807506,15.588290185185603,13.812014287855845,12.551142052099037
1211,0.472439245,-14.099088152927557,0.0,-10.499998578957628,285.82092712977624,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1212,0.705112975,-10.73147882720155,0.0,-10.499998578957628,341.65702827244604,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1213,111.05897499454683,8.758304808111998,44.09515758964826,6.971980695470054,830.6870625034026,-0.0,764.5790968550006,-0.0,15.636188558826339,15.237788612133079,14.603263105479183,13.303190796370512
1214,123.52187718135299,6.384839785508063,45.66670870337103,7.371155296575359,1065.8272974942292,-0.0,814.262006482429,-0.0,17.137547618196546,16.681881276564262,12.965803334128038,11.3912134793119
1215,116.56025725544261,7.940659810631396,44.60755420638992,7.131934050523382,1028.458981904148,-0.0,784.7500465615187,-0.0,16.26609987582427,15.842340584885001,13.809428165735854,12.360548700917567
1216,115.10059328444038,7.893993216147495,44.26553114938037,7.072493149377539,879.7925481236114,-0.0,777.7506297387531,-0.0,16.067867245432378,15.651529384676573,13.846520754354337,12.46763406604686
1217,112.67721269051066,7.672273361630314,44.2803333445964,7.03814751599748,1000.2744217293108,-0.0,773.4511129803719,-0.0,15.898182711328852,15.490275783691613,14.123398701713562,12.796664582830012
1218,119.64040086681891,7.573621473695063,44.87405988812501,7.226813199322302,971.3043810064174,-0.0,797.2823143989347,-0.0,16.647749462936687,16.209376860331247,13.033879033198016,11.766770886745054
1219,122.55203046945181,6.805663965628027,44.75877525868984,7.271555742771762,951.6357798650005,-0.0,803.4267304739037,-0.0,16.88781131723247,16.44004484190712,12.524375640173751,11.099283480923395
1220,124.17865087663583,6.757193572781228,45.243382798903546,7.357472515464602,1037.9987489607088,-0.0,814.1984676100216,-0.0,17.176548949130414,16.717972842009452,12.239331073985879,10.917826423505147
1221,125.87639633681239,6.338397455733541,45.638971081341076,7.422503705027826,1138.2973775317835,-0.0,821.5403685242735,-0.0,17.388043789023097,16.922320219733866,12.346359112825597,10.77900876763199
1222,124.38159882775568,6.334318446171126,45.46109414090011,7.373154459155426,998.6473576591706,-0.0,815.3947077365327,-0.0,17.197728031857583,16.739322255405444,12.474666147263283,11.076272064325138
1223,117.34526251386649,8.022295273472226,44.50500956678542,7.137348705575229,926.0207922518888,-0.0,785.7947983693938,-0.0,16.316456831646256,15.890333763255347,13.558013805908068,12.174298447578186
1224,120.17106526444586,6.998580250083047,44.822067548885094,7.2340328697726655,983.1587804104126,-0.0,798.4046700966712,-0.0,16.6944479865295,16.254055402668445,12.946104587523243,11.597503978384657
1225,110.21736164343109,8.503785789751973,44.33752942914823,6.977980906600544,988.7252752346503,-0.0,764.3855390682584,-0.0,15.602565471927324,15.206766705414708,15.091448459297109,13.55211790880091
